Date,Open,High,Low,Close,Adj Close,Volume
2024-02-06,1657.199951,1670.798950,1643.400024,1653.000000,1637.077026,5042092
2024-02-07,1657.800049,1672.625000,1647.599976,1672.599976,1656.488159,7619689
2024-02-08,1669.000000,1674.400024,1645.400024,1651.000000,1635.096313,7529989
2024-02-09,1658.599976,1669.000000,1654.199951,1660.000000,1644.009644,15711890
2024-02-12,1659.800049,1659.800049,1621.800049,1626.400024,1610.733276,11953062
2024-02-13,1644.599976,1659.400024,1632.400024,1641.800049,1625.984985,15292856
2024-02-14,1670.000000,1682.599976,1663.400024,1668.000000,1651.932495,6152989
2024-02-15,1666.199951,1670.800049,1652.199951,1663.000000,1646.980713,4310792
2024-02-16,1662.000000,1679.400024,1655.599976,1676.400024,1660.251709,11116560
2024-02-19,1676.400024,1680.000000,1659.000000,1669.199951,1653.120972,9619953
2024-02-20,1669.000000,1685.000000,1655.234009,1677.800049,1661.638184,7854112
2024-02-21,1660.599976,1666.000000,1655.400024,1661.000000,1645.000000,5008158
2024-02-22,1652.800049,1668.800049,1645.000000,1668.800049,1668.800049,11409135
2024-02-23,1668.199951,1676.000000,1666.199951,1672.400024,1672.400024,14948226
2024-02-26,1672.800049,1685.199951,1667.400024,1674.599976,1674.599976,7089800
2024-02-27,1666.000000,1676.800049,1661.000000,1671.000000,1671.000000,6051074
2024-02-28,1682.199951,1686.400024,1666.400024,1669.800049,1669.800049,18095433
2024-02-29,1674.800049,1699.199951,1664.433960,1664.599976,1664.599976,13427236
2024-03-01,1667.199951,1667.599976,1648.800049,1661.800049,1661.800049,9285033
2024-03-04,1677.199951,1678.400024,1658.800049,1667.800049,1667.800049,5099927
2024-03-05,1678.599976,1685.400024,1669.599976,1683.400024,1683.400024,5081612
2024-03-06,1670.400024,1675.400024,1657.599976,1673.199951,1673.199951,6060100
2024-03-07,1699.800049,1719.800049,1691.806030,1711.199951,1711.199951,10180509
2024-03-08,1697.000000,1699.599976,1668.800049,1673.000000,1673.000000,6540303
2024-03-11,1683.400024,1687.800049,1661.199951,1675.000000,1675.000000,16453603
2024-03-12,1681.400024,1688.800049,1676.400024,1685.199951,1685.199951,4862779
2024-03-13,1685.400024,1696.199951,1680.800049,1695.199951,1695.199951,9359088
2024-03-14,1700.000000,1700.000000,1679.400024,1687.800049,1687.800049,5252450
2024-03-15,1687.800049,1692.199951,1646.400024,1649.599976,1649.599976,19016987
2024-03-18,1656.400024,1663.599976,1644.800049,1660.800049,1660.800049,9509166
2024-03-19,1662.000000,1666.599976,1655.599976,1664.400024,1664.400024,11400832
2024-03-20,1664.000000,1667.800049,1645.199951,1646.800049,1646.800049,5685655
2024-03-21,1641.800049,1681.400024,1638.599976,1673.800049,1673.800049,5122293
2024-03-22,1678.400024,1694.000000,1678.400024,1686.800049,1686.800049,10423834
2024-03-25,1683.000000,1694.599976,1679.400024,1694.599976,1694.599976,6432415
2024-03-26,1695.199951,1701.000000,1686.400024,1697.800049,1697.800049,7986785
2024-03-27,1700.000000,1706.199951,1681.199951,1688.000366,1688.000366,1474779
